# 250314_10:15:14.230132
t	CH1	CH2
0.000000e+00	-1.951112e-02	1.083432e+01
1.000000e-08	-2.031991e-02	1.084217e+01
2.000000e-08	-2.049598e-02	1.079966e+01
3.000000e-08	-2.086975e-02	1.078866e+01
4.000000e-08	-2.107900e-02	1.077050e+01
5.000000e-08	-2.331100e-02	1.070595e+01
6.000000e-08	-2.429971e-02	1.069479e+01
7.000000e-08	-2.415104e-02	1.069326e+01
8.000000e-08	-2.576329e-02	1.057958e+01
9.000000e-08	-2.486501e-02	1.048753e+01
1.000000e-07	-2.627906e-02	1.042479e+01
1.100000e-07	-2.597747e-02	1.042272e+01
1.200000e-07	-2.655843e-02	1.039061e+01
1.300000e-07	-2.764822e-02	1.032795e+01
1.400000e-07	-2.804818e-02	1.019334e+01
1.500000e-07	-2.868858e-02	1.017169e+01
1.600000e-07	-2.715602e-02	1.010996e+01
1.700000e-07	-2.687773e-02	1.003384e+01
1.800000e-07	-2.485677e-02	9.980058e+00
1.900000e-07	-2.561117e-02	9.896370e+00
2.000000e-07	-2.498385e-02	9.819667e+00
2.100000e-07	-2.592623e-02	9.718399e+00
2.200000e-07	-2.551608e-02	9.624742e+00
2.300000e-07	-2.460412e-02	9.520107e+00
2.400000e-07	-2.291045e-02	9.414920e+00
2.500000e-07	-2.241025e-02	9.382138e+00
2.600000e-07	-2.208442e-02	9.258449e+00
2.700000e-07	-2.078336e-02	9.172186e+00
2.800000e-07	-2.050253e-02	9.115997e+00
2.900000e-07	-2.056248e-02	8.922086e+00
3.000000e-07	-2.054778e-02	8.844795e+00
3.100000e-07	-1.960002e-02	8.762103e+00
3.200000e-07	-1.739211e-02	8.635794e+00
3.300000e-07	-1.696529e-02	8.520108e+00
3.400000e-07	-1.644695e-02	8.426294e+00
3.500000e-07	-1.670316e-02	8.328086e+00
3.600000e-07	-1.580208e-02	8.193246e+00
3.700000e-07	-1.596125e-02	8.095925e+00
3.800000e-07	-1.501778e-02	7.932656e+00
3.900000e-07	-1.516343e-02	7.804292e+00
4.000000e-07	-1.338510e-02	7.690480e+00
4.100000e-07	-1.334830e-02	7.540161e+00
4.200000e-07	-1.253214e-02	7.372664e+00
