# 250403_10:52:34.818937
t	CH1	CH2
0.000000e+00	-1.337450e-02	4.463133e+00
1.000000e-08	-1.291526e-02	4.472185e+00
2.000000e-08	-1.305889e-02	4.442105e+00
3.000000e-08	-1.319220e-02	4.461107e+00
4.000000e-08	-1.450195e-02	4.442558e+00
5.000000e-08	-1.311172e-02	4.420583e+00
6.000000e-08	-1.394666e-02	4.391028e+00
7.000000e-08	-1.343286e-02	4.419976e+00
8.000000e-08	-1.283366e-02	4.369024e+00
9.000000e-08	-1.327322e-02	4.370524e+00
1.000000e-07	-1.295235e-02	4.379946e+00
1.100000e-07	-1.343239e-02	4.326971e+00
1.200000e-07	-1.248238e-02	4.378444e+00
1.300000e-07	-1.223538e-02	4.327940e+00
1.400000e-07	-1.174812e-02	4.286366e+00
1.500000e-07	-1.244203e-02	4.304235e+00
1.600000e-07	-1.240656e-02	4.296738e+00
1.700000e-07	-1.243601e-02	4.265152e+00
1.800000e-07	-1.259136e-02	4.262477e+00
1.900000e-07	-1.282957e-02	4.251655e+00
2.000000e-07	-1.206620e-02	4.171029e+00
2.100000e-07	-1.188725e-02	4.159923e+00
2.200000e-07	-1.178897e-02	4.137917e+00
2.300000e-07	-1.154471e-02	4.137493e+00
2.400000e-07	-1.126540e-02	4.085266e+00
2.500000e-07	-1.087747e-02	4.085286e+00
2.600000e-07	-1.058312e-02	4.094732e+00
2.700000e-07	-1.056387e-02	4.034133e+00
2.800000e-07	-1.052614e-02	4.042679e+00
2.900000e-07	-1.115457e-02	3.992051e+00
3.000000e-07	-1.145338e-02	4.011470e+00
3.100000e-07	-1.204017e-02	4.010422e+00
3.200000e-07	-1.100509e-02	3.999023e+00
3.300000e-07	-9.554584e-03	3.990371e+00
3.400000e-07	-9.593071e-03	3.937897e+00
3.500000e-07	-9.135012e-03	3.906368e+00
3.600000e-07	-9.405678e-03	3.919341e+00
3.700000e-07	-9.262897e-03	3.915787e+00
3.800000e-07	-1.037596e-02	3.924813e+00
3.900000e-07	-1.110102e-02	3.895183e+00
4.000000e-07	-1.074169e-02	3.894208e+00
4.100000e-07	-1.046283e-02	3.822653e+00
4.200000e-07	-8.193860e-03	3.843578e+00
4.300000e-07	-7.652082e-03	3.811101e+00
4.400000e-07	-8.048848e-03	3.780026e+00
4.500000e-07	-9.199799e-03	3.759472e+00
4.600000e-07	-8.699531e-03	3.808372e+00
4.700000e-07	-8.453868e-03	3.745871e+00
4.800000e-07	-9.206039e-03	3.756862e+00
4.900000e-07	-8.715992e-03	3.696233e+00
5.000000e-07	-8.315026e-03	3.683263e+00
5.100000e-07	-7.632700e-03	3.664256e+00
5.200000e-07	-7.605482e-03	3.602130e+00
5.300000e-07	-7.488755e-03	3.622127e+00
5.400000e-07	-8.500928e-03	3.622075e+00
5.500000e-07	-8.604718e-03	3.601553e+00
5.600000e-07	-8.375206e-03	3.569967e+00
5.700000e-07	-7.812738e-03	3.569446e+00
5.800000e-07	-7.409471e-03	3.537416e+00
5.900000e-07	-7.817411e-03	3.505790e+00
6.000000e-07	-7.382656e-03	3.485739e+00
6.100000e-07	-5.490243e-03	3.484706e+00
6.200000e-07	-7.072773e-03	3.431654e+00
6.300000e-07	-7.976931e-03	3.352076e+00
6.400000e-07	-8.648242e-03	3.358421e+00
6.500000e-07	-7.475844e-03	3.357892e+00
6.600000e-07	-5.744109e-03	3.296287e+00
6.700000e-07	-5.644381e-03	3.285259e+00
6.800000e-07	-7.095054e-03	3.266205e+00
6.900000e-07	-7.795286e-03	3.243579e+00
7.000000e-07	-6.150110e-03	3.221550e+00
7.100000e-07	-6.828440e-03	3.201101e+00
7.200000e-07	-7.706591e-03	3.159997e+00
7.300000e-07	-6.998728e-03	3.158447e+00
7.400000e-07	-5.719767e-03	3.118367e+00
7.500000e-07	-4.598510e-03	3.116818e+00
7.600000e-07	-4.927103e-03	3.076738e+00
7.700000e-07	-6.740638e-03	3.075182e+00
7.800000e-07	-7.134235e-03	3.022159e+00
7.900000e-07	-6.371284e-03	3.022179e+00
8.000000e-07	-6.247776e-03	3.060496e+00
8.100000e-07	-6.185197e-03	2.960024e+00
8.200000e-07	-5.694663e-03	2.939543e+00
8.300000e-07	-5.013474e-03	2.906915e+00
8.400000e-07	-4.913276e-03	2.927737e+00
8.500000e-07	-5.829238e-03	2.916787e+00
8.600000e-07	-6.529227e-03	2.863632e+00
8.700000e-07	-6.571184e-03	2.813129e+00
8.800000e-07	-5.675988e-03	2.811651e+00
8.900000e-07	-4.520961e-03	2.801574e+00
9.000000e-07	-5.174961e-03	2.790473e+00
9.100000e-07	-5.468209e-03	2.748471e+00
9.200000e-07	-5.305008e-03	2.718992e+00
9.300000e-07	-5.509486e-03	2.687412e+00
9.400000e-07	-5.294662e-03	2.653239e+00
9.500000e-07	-5.508099e-03	2.644179e+00
9.600000e-07	-5.484735e-03	2.561454e+00
9.700000e-07	-4.769712e-03	2.527448e+00
9.800000e-07	-5.673136e-03	2.517363e+00
9.900000e-07	-5.582796e-03	2.484685e+00
1.000000e-06	-5.337816e-03	2.442107e+00
1.010000e-06	-5.300233e-03	2.403154e+00
1.020000e-06	-5.668756e-03	2.350550e+00
1.030000e-06	-4.883061e-03	2.397997e+00
1.040000e-06	-4.952321e-03	2.368967e+00
1.050000e-06	-5.147170e-03	2.338916e+00
1.060000e-06	-5.317220e-03	2.276812e+00
1.070000e-06	-5.419109e-03	2.295210e+00
1.080000e-06	-4.584333e-03	2.253582e+00
1.090000e-06	-5.253318e-03	2.202678e+00
1.100000e-06	-4.999141e-03	2.172550e+00
1.110000e-06	-4.677229e-03	2.160470e+00
1.120000e-06	-4.539147e-03	2.167892e+00
1.130000e-06	-4.726062e-03	2.127368e+00
1.140000e-06	-5.191359e-03	2.106262e+00
1.150000e-06	-5.292111e-03	2.044732e+00
1.160000e-06	-4.721722e-03	2.032605e+00
1.170000e-06	-5.086847e-03	2.001604e+00
1.180000e-06	-5.177393e-03	2.021051e+00
1.190000e-06	-5.043010e-03	1.978450e+00
1.200000e-06	-4.941564e-03	1.959972e+00
1.210000e-06	-4.956354e-03	1.937816e+00
1.220000e-06	-4.951304e-03	1.897816e+00
1.230000e-06	-5.243659e-03	1.803783e+00
1.240000e-06	-4.524730e-03	1.792625e+00
1.250000e-06	-5.551896e-03	1.800079e+00
1.260000e-06	-2.771744e-03	1.770900e+00
1.270000e-06	-8.520595e-03	1.688422e+00
1.280000e-06	-2.901442e-03	1.706912e+00
1.290000e-06	-7.151490e-03	1.716286e+00
1.300000e-06	-2.776489e-03	1.644709e+00
1.310000e-06	-4.963076e-03	1.623133e+00
1.320000e-06	-5.141691e-03	1.604125e+00
1.330000e-06	-1.263974e-03	1.549330e+00
1.340000e-06	-6.322130e-03	1.555388e+00
1.350000e-06	-4.296466e-03	1.484263e+00
1.360000e-06	-9.174755e-03	1.404103e+00
1.370000e-06	-5.091696e-03	1.393524e+00
1.380000e-06	-4.068815e-03	1.401601e+00
1.390000e-06	-5.073615e-03	1.358970e+00
1.400000e-06	-1.456592e-03	1.357341e+00
1.410000e-06	-5.545133e-03	1.337213e+00
1.420000e-06	-9.572215e-04	1.234733e+00
1.430000e-06	-7.089419e-03	1.192157e+00
1.440000e-06	-5.800896e-03	1.211599e+00
1.450000e-06	-5.780770e-03	1.179921e+00
1.460000e-06	-7.026845e-03	1.147442e+00
1.470000e-06	-1.853938e-03	1.086787e+00
1.480000e-06	-6.558652e-03	1.054659e+00
1.490000e-06	-1.337103e-03	9.837051e-01
1.500000e-06	-5.505217e-03	9.408712e-01
1.510000e-06	-3.266978e-03	8.888645e-01
1.520000e-06	-5.257070e-03	8.546590e-01
1.530000e-06	-6.417320e-03	8.241301e-01
1.540000e-06	-3.650152e-03	8.010989e-01
1.550000e-06	-7.047940e-03	7.704987e-01
1.560000e-06	-2.042786e-03	7.589475e-01
1.570000e-06	-6.316615e-03	7.583684e-01
1.580000e-06	-2.525109e-03	6.678948e-01
1.590000e-06	-5.200453e-03	6.562592e-01
1.600000e-06	-4.618176e-03	6.646027e-01
1.610000e-06	-3.608406e-03	6.115527e-01
1.620000e-06	-6.822237e-03	5.909749e-01
