# Temperatura_=_20.0
# Concentracion g/m^3_=_18000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_108223.33856727993
# Promedio de 24 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-6.942027e-09	-7.529904e-09	-5.693886e+01	-8.702569e+02
1.000000e-08	-6.942208e-09	-7.534045e-09	-5.694034e+01	-8.701568e+02
2.000000e-08	-6.942224e-09	-7.534825e-09	-5.694047e+01	-8.700248e+02
3.000000e-08	-6.942030e-09	-7.531670e-09	-5.693887e+01	-8.698613e+02
4.000000e-08	-6.941532e-09	-7.526488e-09	-5.693479e+01	-8.696665e+02
5.000000e-08	-6.940661e-09	-7.524563e-09	-5.692764e+01	-8.694409e+02
6.000000e-08	-6.939360e-09	-7.526931e-09	-5.691698e+01	-8.691850e+02
7.000000e-08	-6.937542e-09	-7.531756e-09	-5.690206e+01	-8.688994e+02
8.000000e-08	-6.935194e-09	-7.530880e-09	-5.688280e+01	-8.685847e+02
9.000000e-08	-6.932324e-09	-7.525462e-09	-5.685926e+01	-8.682416e+02
1.000000e-07	-6.929017e-09	-7.535409e-09	-5.683214e+01	-8.678709e+02
1.100000e-07	-6.925408e-09	-7.545806e-09	-5.680254e+01	-8.674733e+02
1.200000e-07	-6.921588e-09	-7.520602e-09	-5.677120e+01	-8.670498e+02
1.300000e-07	-6.917610e-09	-7.469399e-09	-5.673857e+01	-8.666010e+02
1.400000e-07	-6.913434e-09	-7.491898e-09	-5.670432e+01	-8.661282e+02
1.500000e-07	-6.908973e-09	-7.579722e-09	-5.666773e+01	-8.656321e+02
1.600000e-07	-6.904182e-09	-7.549340e-09	-5.662843e+01	-8.651138e+02
1.700000e-07	-6.899041e-09	-7.497347e-09	-5.658627e+01	-8.645743e+02
1.800000e-07	-6.893548e-09	-7.567639e-09	-5.654121e+01	-8.640148e+02
1.900000e-07	-6.887765e-09	-7.509071e-09	-5.649379e+01	-8.634362e+02
2.000000e-07	-6.881682e-09	-7.344764e-09	-5.644389e+01	-8.628396e+02
2.100000e-07	-6.875285e-09	-7.382182e-09	-5.639142e+01	-8.622263e+02
2.200000e-07	-6.868545e-09	-7.426015e-09	-5.633613e+01	-8.615971e+02
2.300000e-07	-6.861440e-09	-7.313805e-09	-5.627786e+01	-8.609534e+02
2.400000e-07	-6.854050e-09	-7.341782e-09	-5.621725e+01	-8.602961e+02
2.500000e-07	-6.846428e-09	-7.405415e-09	-5.615473e+01	-8.596264e+02
2.600000e-07	-6.838605e-09	-7.311655e-09	-5.609057e+01	-8.589453e+02
2.700000e-07	-6.830601e-09	-7.329776e-09	-5.602492e+01	-8.582539e+02
2.800000e-07	-6.822388e-09	-7.369428e-09	-5.595755e+01	-8.575533e+02
2.900000e-07	-6.813856e-09	-7.280344e-09	-5.588757e+01	-8.568443e+02
3.000000e-07	-6.804926e-09	-7.285428e-09	-5.581432e+01	-8.561281e+02
3.100000e-07	-6.795555e-09	-7.321037e-09	-5.573747e+01	-8.554054e+02
3.200000e-07	-6.785690e-09	-7.285780e-09	-5.565655e+01	-8.546774e+02
3.300000e-07	-6.775292e-09	-7.291543e-09	-5.557127e+01	-8.539447e+02
3.400000e-07	-6.764438e-09	-7.292156e-09	-5.548224e+01	-8.532081e+02
3.500000e-07	-6.753231e-09	-7.255697e-09	-5.539032e+01	-8.524686e+02
3.600000e-07	-6.741730e-09	-7.270385e-09	-5.529599e+01	-8.517266e+02
3.700000e-07	-6.729979e-09	-7.273964e-09	-5.519961e+01	-8.509830e+02
3.800000e-07	-6.717958e-09	-7.242326e-09	-5.510101e+01	-8.502382e+02
3.900000e-07	-6.705615e-09	-7.257575e-09	-5.499977e+01	-8.494929e+02
4.000000e-07	-6.692920e-09	-7.273843e-09	-5.489564e+01	-8.487475e+02
4.100000e-07	-6.679877e-09	-7.261843e-09	-5.478866e+01	-8.480024e+02
4.200000e-07	-6.666505e-09	-7.254546e-09	-5.467899e+01	-8.472579e+02
4.300000e-07	-6.652789e-09	-7.247874e-09	-5.456649e+01	-8.465144e+02
4.400000e-07	-6.638747e-09	-7.232733e-09	-5.445131e+01	-8.457721e+02
4.500000e-07	-6.624332e-09	-7.228024e-09	-5.433308e+01	-8.450311e+02
4.600000e-07	-6.609459e-09	-7.227007e-09	-5.421109e+01	-8.442916e+02
4.700000e-07	-6.594093e-09	-7.213485e-09	-5.408506e+01	-8.435535e+02
4.800000e-07	-6.578220e-09	-7.216564e-09	-5.395487e+01	-8.428168e+02
4.900000e-07	-6.561977e-09	-7.220158e-09	-5.382164e+01	-8.420816e+02
5.000000e-07	-6.545436e-09	-7.206851e-09	-5.368597e+01	-8.413475e+02
5.100000e-07	-6.528594e-09	-7.195562e-09	-5.354783e+01	-8.406145e+02
5.200000e-07	-6.511515e-09	-7.185452e-09	-5.340775e+01	-8.398823e+02
5.300000e-07	-6.494178e-09	-7.178917e-09	-5.326555e+01	-8.391505e+02
5.400000e-07	-6.476534e-09	-7.178647e-09	-5.312083e+01	-8.384189e+02
5.500000e-07	-6.458566e-09	-7.172248e-09	-5.297346e+01	-8.376869e+02
5.600000e-07	-6.440289e-09	-7.160498e-09	-5.282355e+01	-8.369542e+02
