# Temperatura_=_20.0
# Concentracion g/m^3_=_18000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_108098.19158985562
# Promedio de 23 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.023248e-09	-7.613703e-09	-5.692764e+01	-8.849395e+02
1.000000e-08	-7.023422e-09	-7.612987e-09	-5.692905e+01	-8.849041e+02
2.000000e-08	-7.023426e-09	-7.615928e-09	-5.692909e+01	-8.848553e+02
3.000000e-08	-7.023223e-09	-7.619026e-09	-5.692744e+01	-8.847940e+02
4.000000e-08	-7.022752e-09	-7.620586e-09	-5.692363e+01	-8.847207e+02
5.000000e-08	-7.021911e-09	-7.622424e-09	-5.691681e+01	-8.846362e+02
6.000000e-08	-7.020624e-09	-7.620822e-09	-5.690637e+01	-8.845411e+02
7.000000e-08	-7.018861e-09	-7.608879e-09	-5.689209e+01	-8.844358e+02
8.000000e-08	-7.016562e-09	-7.600929e-09	-5.687345e+01	-8.843210e+02
9.000000e-08	-7.013738e-09	-7.623280e-09	-5.685056e+01	-8.841972e+02
1.000000e-07	-7.010459e-09	-7.654361e-09	-5.682399e+01	-8.840648e+02
1.100000e-07	-7.006817e-09	-7.637247e-09	-5.679446e+01	-8.839241e+02
1.200000e-07	-7.002940e-09	-7.582115e-09	-5.676304e+01	-8.837755e+02
1.300000e-07	-6.998899e-09	-7.584116e-09	-5.673028e+01	-8.836194e+02
1.400000e-07	-6.994667e-09	-7.632674e-09	-5.669598e+01	-8.834558e+02
1.500000e-07	-6.990165e-09	-7.589954e-09	-5.665949e+01	-8.832851e+02
1.600000e-07	-6.985329e-09	-7.583433e-09	-5.662029e+01	-8.831072e+02
1.700000e-07	-6.980164e-09	-7.708057e-09	-5.657843e+01	-8.829223e+02
1.800000e-07	-6.974664e-09	-7.667920e-09	-5.653385e+01	-8.827303e+02
1.900000e-07	-6.968843e-09	-7.576352e-09	-5.648666e+01	-8.825312e+02
2.000000e-07	-6.962734e-09	-7.692154e-09	-5.643714e+01	-8.823249e+02
2.100000e-07	-6.956277e-09	-7.692636e-09	-5.638481e+01	-8.821111e+02
2.200000e-07	-6.949453e-09	-7.573963e-09	-5.632949e+01	-8.818897e+02
2.300000e-07	-6.942314e-09	-7.644500e-09	-5.627163e+01	-8.816603e+02
2.400000e-07	-6.934877e-09	-7.668379e-09	-5.621135e+01	-8.814228e+02
2.500000e-07	-6.927178e-09	-7.565384e-09	-5.614894e+01	-8.811767e+02
2.600000e-07	-6.919282e-09	-7.618626e-09	-5.608494e+01	-8.809215e+02
2.700000e-07	-6.911219e-09	-7.650336e-09	-5.601958e+01	-8.806570e+02
2.800000e-07	-6.902913e-09	-7.555332e-09	-5.595226e+01	-8.803826e+02
2.900000e-07	-6.894318e-09	-7.579923e-09	-5.588259e+01	-8.800979e+02
3.000000e-07	-6.885394e-09	-7.601398e-09	-5.581026e+01	-8.798023e+02
3.100000e-07	-6.876006e-09	-7.549305e-09	-5.573416e+01	-8.794953e+02
3.200000e-07	-6.866071e-09	-7.581593e-09	-5.565364e+01	-8.791765e+02
3.300000e-07	-6.855643e-09	-7.603880e-09	-5.556911e+01	-8.788453e+02
3.400000e-07	-6.844801e-09	-7.575016e-09	-5.548123e+01	-8.785011e+02
3.500000e-07	-6.833576e-09	-7.594216e-09	-5.539024e+01	-8.781436e+02
3.600000e-07	-6.822015e-09	-7.592734e-09	-5.529653e+01	-8.777721e+02
3.700000e-07	-6.810160e-09	-7.551715e-09	-5.520045e+01	-8.773861e+02
3.800000e-07	-6.797997e-09	-7.566689e-09	-5.510185e+01	-8.769853e+02
3.900000e-07	-6.785516e-09	-7.567443e-09	-5.500069e+01	-8.765691e+02
4.000000e-07	-6.772686e-09	-7.543081e-09	-5.489670e+01	-8.761373e+02
4.100000e-07	-6.759485e-09	-7.554520e-09	-5.478969e+01	-8.756893e+02
4.200000e-07	-6.745928e-09	-7.558319e-09	-5.467981e+01	-8.752250e+02
4.300000e-07	-6.732030e-09	-7.545975e-09	-5.456715e+01	-8.747439e+02
4.400000e-07	-6.717760e-09	-7.543066e-09	-5.445149e+01	-8.742459e+02
4.500000e-07	-6.703063e-09	-7.540812e-09	-5.433236e+01	-8.737307e+02
4.600000e-07	-6.687883e-09	-7.523724e-09	-5.420932e+01	-8.731983e+02
4.700000e-07	-6.672174e-09	-7.522586e-09	-5.408199e+01	-8.726485e+02
4.800000e-07	-6.656017e-09	-7.527298e-09	-5.395102e+01	-8.720813e+02
4.900000e-07	-6.639452e-09	-7.515242e-09	-5.381675e+01	-8.714967e+02
5.000000e-07	-6.622508e-09	-7.510776e-09	-5.367941e+01	-8.708948e+02
5.100000e-07	-6.605308e-09	-7.507376e-09	-5.354000e+01	-8.702757e+02
5.200000e-07	-6.587881e-09	-7.501481e-09	-5.339875e+01	-8.696396e+02
5.300000e-07	-6.570202e-09	-7.498305e-09	-5.325544e+01	-8.689866e+02
5.400000e-07	-6.552273e-09	-7.494434e-09	-5.311012e+01	-8.683172e+02
5.500000e-07	-6.534076e-09	-7.487161e-09	-5.296262e+01	-8.676315e+02
5.600000e-07	-6.515571e-09	-7.482879e-09	-5.281263e+01	-8.669300e+02
5.700000e-07	-6.496758e-09	-7.477926e-09	-5.266014e+01	-8.662131e+02
5.800000e-07	-6.477644e-09	-7.465521e-09	-5.250521e+01	-8.654812e+02
5.900000e-07	-6.458258e-09	-7.456795e-09	-5.234807e+01	-8.647347e+02
6.000000e-07	-6.438656e-09	-7.447156e-09	-5.218918e+01	-8.639743e+02
6.100000e-07	-6.418861e-09	-7.439480e-09	-5.202873e+01	-8.632003e+02
6.200000e-07	-6.398903e-09	-7.434379e-09	-5.186696e+01	-8.624135e+02
6.300000e-07	-6.378792e-09	-7.427854e-09	-5.170395e+01	-8.616142e+02
6.400000e-07	-6.358504e-09	-7.419866e-09	-5.153950e+01	-8.608031e+02
6.500000e-07	-6.337988e-09	-7.411944e-09	-5.137321e+01	-8.599808e+02
6.600000e-07	-6.317197e-09	-7.405390e-09	-5.120468e+01	-8.591478e+02
6.700000e-07	-6.296125e-09	-7.392378e-09	-5.103389e+01	-8.583047e+02
6.800000e-07	-6.274765e-09	-7.380938e-09	-5.086075e+01	-8.574520e+02
6.900000e-07	-6.253128e-09	-7.370949e-09	-5.068537e+01	-8.565903e+02
7.000000e-07	-6.231223e-09	-7.363846e-09	-5.050782e+01	-8.557201e+02
7.100000e-07	-6.209035e-09	-7.360535e-09	-5.032797e+01	-8.548418e+02
7.200000e-07	-6.186577e-09	-7.355618e-09	-5.014593e+01	-8.539559e+02
7.300000e-07	-6.163831e-09	-7.350425e-09	-4.996156e+01	-8.530628e+02
7.400000e-07	-6.140779e-09	-7.342606e-09	-4.977471e+01	-8.521628e+02
7.500000e-07	-6.117445e-09	-7.335223e-09	-4.958558e+01	-8.512563e+02
7.600000e-07	-6.093882e-09	-7.325427e-09	-4.939458e+01	-8.503435e+02
7.700000e-07	-6.070127e-09	-7.312643e-09	-4.920203e+01	-8.494247e+02
7.800000e-07	-6.046166e-09	-7.298444e-09	-4.900781e+01	-8.484999e+02
