# 250407_15:38:26.813126
t	CH1	CH2
0.000000e+00	-1.001141e-02	4.462153e+00
1.000000e-08	-9.859221e-03	4.472055e+00
2.000000e-08	-1.030840e-02	4.430555e+00
3.000000e-08	-1.005346e-02	4.411073e+00
4.000000e-08	-9.669074e-03	4.460002e+00
5.000000e-08	-9.347196e-03	4.428950e+00
6.000000e-08	-9.074583e-03	4.439920e+00
7.000000e-08	-9.365820e-03	4.418997e+00
8.000000e-08	-9.378334e-03	4.427995e+00
9.000000e-08	-8.245885e-03	4.418345e+00
1.000000e-07	-8.150642e-03	4.347795e+00
1.100000e-07	-8.450668e-03	4.364788e+00
1.200000e-07	-8.709617e-03	4.375288e+00
1.300000e-07	-9.161368e-03	4.323735e+00
1.400000e-07	-8.170312e-03	4.335255e+00
1.500000e-07	-8.706496e-03	4.310654e+00
1.600000e-07	-8.210593e-03	4.281524e+00
1.700000e-07	-8.406253e-03	4.272046e+00
1.800000e-07	-7.859252e-03	4.209021e+00
1.900000e-07	-7.188997e-03	4.216465e+00
2.000000e-07	-7.408524e-03	4.217841e+00
2.100000e-07	-7.658753e-03	4.196762e+00
2.200000e-07	-7.972834e-03	4.144812e+00
2.300000e-07	-6.896868e-03	4.123732e+00
2.400000e-07	-6.434354e-03	4.113632e+00
2.500000e-07	-7.150385e-03	4.062154e+00
2.600000e-07	-7.967631e-03	4.081078e+00
2.700000e-07	-7.627471e-03	4.080526e+00
2.800000e-07	-7.206777e-03	4.021974e+00
2.900000e-07	-6.996992e-03	3.988452e+00
3.000000e-07	-6.944669e-03	4.008445e+00
3.100000e-07	-6.819802e-03	3.997367e+00
3.200000e-07	-6.410164e-03	3.976992e+00
3.300000e-07	-5.601423e-03	3.945338e+00
3.400000e-07	-6.631603e-03	3.985740e+00
3.500000e-07	-6.617054e-03	3.934734e+00
3.600000e-07	-6.790248e-03	3.924683e+00
3.700000e-07	-7.073398e-03	3.923675e+00
3.800000e-07	-6.065887e-03	3.883528e+00
3.900000e-07	-5.584564e-03	3.863526e+00
4.000000e-07	-5.349025e-03	3.888522e+00
4.100000e-07	-5.823061e-03	3.838947e+00
4.200000e-07	-5.733834e-03	3.838420e+00
4.300000e-07	-5.992596e-03	3.796942e+00
4.400000e-07	-6.059523e-03	3.795345e+00
4.500000e-07	-5.569056e-03	3.755783e+00
4.600000e-07	-5.588022e-03	3.724288e+00
4.700000e-07	-5.432958e-03	3.714182e+00
4.800000e-07	-5.458808e-03	3.694634e+00
4.900000e-07	-5.118995e-03	3.681079e+00
5.000000e-07	-5.472184e-03	3.662053e+00
5.100000e-07	-4.935018e-03	3.651478e+00
5.200000e-07	-4.940617e-03	3.608973e+00
5.300000e-07	-4.772935e-03	3.600476e+00
5.400000e-07	-4.967517e-03	3.608371e+00
5.500000e-07	-4.978218e-03	3.576841e+00
5.600000e-07	-4.937812e-03	3.546311e+00
5.700000e-07	-4.956692e-03	3.576210e+00
5.800000e-07	-4.442447e-03	3.553133e+00
5.900000e-07	-4.961480e-03	3.471031e+00
6.000000e-07	-4.705303e-03	3.448492e+00
6.100000e-07	-4.208501e-03	3.397388e+00
6.200000e-07	-3.741927e-03	3.386812e+00
6.300000e-07	-3.966175e-03	3.345237e+00
6.400000e-07	-4.021777e-03	3.283111e+00
6.500000e-07	-4.505414e-03	3.281655e+00
6.600000e-07	-4.225605e-03	3.292003e+00
6.700000e-07	-5.026203e-03	3.250500e+00
6.800000e-07	-4.830229e-03	3.248951e+00
6.900000e-07	-4.419576e-03	3.199894e+00
7.000000e-07	-4.109628e-03	3.208340e+00
